ordre;nom;intitule;image;lien;affiche;descriptif
1;phyto;Phytothérapie;phyto.jpg;phyto;1;composition de différentes plantes
2;prophylo;Prophylaxie;achillee.jpg;calcul_prophylo;1;Prophylaxie
3;technique;Technique;forum.jpg;technique;1;des infos techniques
4;parasitisme;Parasitisme;parasitisme.jpg;parasitisme;1;Pour une maîtrise raisonnée du parasitisme
5;aver;Aver;aver.jpg;aver;1;site de l'association vétérinaire des éleveurs de la Raye
6;antikor;Antikor;antikor.jpg;antikor;1;Société Coopérative Ouvrière de Production ANTIKOR
